driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
41,192.0,100.0,100.0,3.0,5.0,0.001,0.00312,-0.0139991,0.0139991,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,14.3578,1.7811,0,42799.0,42191,34.21
64,704.0,100.0,100.0,3.0,5.0,0.001,0.00312,-0.0139991,0.0139991,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,14.3578,1.7811,0,42776.0,42168,31.77
166,576.0,100.0,100.0,3.0,5.0,0.001,0.00312,-0.0139991,0.0139991,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,14.3578,1.7811,0,42674.0,42066,40.85
221,672.0,100.0,100.0,3.0,5.0,0.001,0.00312,-0.0139991,0.0139991,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,14.3578,1.7811,0,42619.0,42011,42.45
273,576.0,100.0,100.0,3.0,5.0,0.001,0.00312,-0.0139991,0.0139991,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0109,6.77589,0,42567.0,41959,52.85
315,1056.0,100.0,100.0,3.0,5.0,0.001,0.00312,-0.0139991,0.0139991,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0109,6.77589,0,42525.0,41917,31.65
455,1088.0,100.0,100.0,2.0,5.0,0.00015,0.00912,-0.0229959,0.0399787,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,22.0109,6.77589,0,42385.0,41777,52.0
458,288.0,100.0,100.0,2.0,5.0,0.00134,0.00912,-0.0399787,0.0399787,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0109,6.77589,0,42382.0,41774,30.57
565,1056.0,100.0,100.0,5.0,5.0,1e-05,0.00017,-0.00299999,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,22.0109,6.77589,0,42275.0,41667,79.76
614,1088.0,100.0,100.0,4.0,7.0,0.0,1e-05,-0.00899976,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.4366,1.10878,0,42226.0,41618,83.6
660,672.0,100.0,100.0,5.0,5.0,1e-05,1e-05,-0.00899976,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.4366,1.10878,0,42180.0,41572,81.4
691,384.0,100.0,100.0,5.0,5.0,0.0,1e-05,-0.00899976,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.4366,1.10878,0,42149.0,41541,81.53
708,1088.0,100.0,100.0,4.0,6.0,0.0,1e-05,-0.00999967,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.4366,1.10878,0,42132.0,41524,77.18
758,1088.0,100.0,100.0,3.0,6.0,0.0,0.00108,-0.00499996,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,14.4366,1.10878,0,42082.0,41474,70.52
813,1056.0,100.0,100.0,5.0,5.0,0.00039,0.00108,-0.002,0.00999967,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,15.6853,2.20887,0,42027.0,41419,59.82
876,736.0,100.0,100.0,5.0,5.0,0.00067,0.00067,-0.0159986,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.6853,2.20887,0,41964.0,41356,71.93
915,160.0,100.0,100.0,5.0,5.0,0.00067,0.00067,-0.0159986,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.6853,2.20887,0,41925.0,41317,74.21
923,608.0,100.0,100.0,5.0,5.0,0.00067,0.00067,-0.0159986,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.4366,1.10878,0,41917.0,41309,79.67
949,640.0,100.0,100.0,5.0,5.0,0.00067,0.00067,-0.0159986,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.4366,1.10878,0,41891.0,41283,81.24
978,608.0,0.0,100.0,4.0,6.0,1e-05,0.00067,-0.0159986,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.4366,1.10878,0,41862.0,41254,84.28
1004,640.0,0.0,100.0,4.0,6.0,0.0,1e-05,-0.0229959,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.7181,1.79819,0,41836.0,41228,80.02
1033,640.0,100.0,100.0,4.0,6.0,1e-05,1e-05,-0.0229959,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.7181,1.79819,0,41807.0,41199,80.26
1061,576.0,100.0,100.0,6.0,6.0,1e-05,1e-05,-0.0259941,0.0229959,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.7181,1.79819,0,41779.0,41171,81.4
