driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
164,101.0,100.0,100.0,4.0,4.0,1e-05,0.00051,-0.0209969,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,133.534,9.48659,0,39436.0,39216,14.27
174,700.0,100.0,100.0,4.0,4.0,1e-05,0.00051,-0.0209969,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,133.534,9.48659,0,39426.0,39206,38.89
192,1300.0,100.0,100.0,4.0,4.0,1e-05,0.00051,-0.0209969,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,133.534,9.48659,0,39408.0,39188,51.06
287,1700.0,100.0,100.0,4.0,4.0,0.0,4e-05,-0.0229959,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,133.534,9.48659,0,39313.0,39093,54.57
335,600.0,100.0,100.0,3.0,6.0,0.0,0.0077,-0.0349857,0.0239954,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,133.534,9.48659,0,39265.0,39045,53.88
368,1199.0,100.0,100.0,3.0,6.0,0.0,0.0077,-0.0349857,0.0239954,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,133.534,9.48659,0,39232.0,39012,46.26
433,400.0,100.0,100.0,2.0,5.0,5e-05,0.00078,-0.0209969,0.0209969,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,123.6,3.19989,0,39167.0,38947,23.59
533,100.0,100.0,100.0,2.0,5.0,5e-05,0.00078,-0.0209969,0.0209969,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,123.6,3.19989,0,39067.0,38847,45.07
545,600.0,100.0,100.0,4.0,6.0,6e-05,0.0002,-0.0159986,0.0169984,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,133.534,9.48659,0,39055.0,38835,32.8
682,1699.0,100.0,100.0,3.0,7.0,3e-05,0.00048,-0.0139991,0.0159986,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,133.534,9.48659,0,38918.0,38698,38.04
880,601.0,100.0,100.0,3.0,7.0,3e-05,0.00048,-0.0139991,0.0159986,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,133.534,9.48659,0,38720.0,38500,30.22
1009,1300.0,100.0,100.0,3.0,7.0,3e-05,0.00048,-0.0139991,0.0159986,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,133.534,9.48659,0,38591.0,38371,30.75
1225,601.0,100.0,100.0,3.0,6.0,0.0,0.00241,-0.0349857,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,133.534,9.48659,0,38375.0,38155,53.35
1363,300.0,100.0,100.0,4.0,4.0,1e-05,0.00051,-0.0209969,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,133.534,9.48659,0,38237.0,38017,65.33
1431,100.0,100.0,100.0,4.0,4.0,0.0005,0.00051,-0.0209969,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,133.534,9.48659,0,38169.0,37949,74.01
1436,800.0,100.0,100.0,4.0,4.0,0.0005,0.00051,-0.0209969,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,133.534,9.48659,0,38164.0,37944,72.02
1470,700.0,100.0,100.0,4.0,4.0,0.0005,0.00051,-0.0209969,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,133.534,9.48659,0,38130.0,37910,72.45
1507,600.0,100.0,100.0,4.0,4.0,0.00027,0.00051,-0.0209969,0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,133.534,9.48659,0,38093.0,37873,70.59
1534,400.0,100.0,100.0,4.0,4.0,1e-05,0.00027,-0.0209969,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,125.834,5.69622,0,38066.0,37846,77.25
1556,1000.0,100.0,100.0,4.0,4.0,1e-05,0.0005,-0.00699989,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,125.834,5.69622,0,38044.0,37824,77.17
1602,100.0,100.0,100.0,4.0,4.0,0.0005,0.0005,-0.00699989,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,125.834,5.69622,0,37998.0,37778,76.59
1604,700.0,100.0,100.0,4.0,4.0,0.0005,0.00068,-0.00899976,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,125.834,5.69622,0,37996.0,37776,75.99
1638,899.0,100.0,100.0,4.0,4.0,0.00068,0.00068,-0.00899976,-0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,125.834,5.69622,0,37962.0,37742,72.13
1680,301.0,100.0,100.0,4.0,4.0,0.00066,0.00068,-0.00899976,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,125.834,5.69622,0,37920.0,37700,70.1
1693,1199.0,100.0,100.0,4.0,4.0,0.00028,0.00066,-0.0239954,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,125.834,5.69622,0,37907.0,37687,72.18
1753,801.0,100.0,100.0,4.0,4.0,0.00028,0.00037,-0.0259941,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,125.834,5.69622,0,37847.0,37627,76.59
1793,300.0,100.0,100.0,3.0,5.0,0.00037,0.0004,-0.0259941,-0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,125.834,5.69622,0,37807.0,37587,86.85
1807,899.0,100.0,100.0,3.0,5.0,8e-05,0.0004,-0.00899976,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,110.011,4.32883,0,37793.0,37573,81.31
1846,601.0,100.0,100.0,4.0,5.0,1e-05,0.00075,-0.00699989,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,110.011,4.32883,0,37754.0,37534,77.71
1872,500.0,100.0,100.0,4.0,4.0,0.00075,0.00075,-0.00699989,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,110.011,4.32883,0,37728.0,37508,77.04
1893,899.0,100.0,100.0,4.0,4.0,0.00075,0.00075,-0.00699989,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,110.011,4.32883,0,37707.0,37487,76.01
1935,1000.0,100.0,100.0,4.0,4.0,0.00075,0.00075,-0.00699989,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,110.011,4.32883,0,37665.0,37445,75.45
1987,200.0,100.0,100.0,4.0,4.0,0.00075,0.00075,-0.00699989,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,110.011,4.32883,0,37613.0,37393,76.33
1994,1300.0,100.0,100.0,4.0,4.0,0.00057,0.00075,-0.00699989,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,110.011,4.32883,0,37606.0,37386,75.25
2053,1200.0,100.0,100.0,4.0,4.0,0.00042,0.00057,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,118.209,11.0402,0,37547.0,37327,76.53
2108,1100.0,100.0,100.0,4.0,4.0,0.00021,0.00042,-0.00899976,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,118.209,11.0402,0,37492.0,37272,76.5
2162,1199.0,100.0,100.0,4.0,4.0,0.00021,0.00025,0.00699989,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,118.209,11.0402,0,37438.0,37218,72.3
2219,1200.0,100.0,100.0,4.0,5.0,0.00025,0.00026,-0.00299999,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,118.209,11.0402,0,37381.0,37161,68.14
2280,1100.0,100.0,100.0,3.0,5.0,4e-05,0.00034,-0.0119994,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,137.358,4.76447,0,37320.0,37100,74.08
2336,1199.0,100.0,100.0,4.0,4.0,0.00028,0.00034,-0.0119994,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,137.358,4.76447,0,37264.0,37044,75.31
2392,601.0,100.0,100.0,4.0,4.0,0.00028,0.00048,-0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,137.358,4.76447,0,37208.0,36988,72.09
2421,600.0,100.0,100.0,4.0,4.0,0.00048,0.00048,-0.0169984,-0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,137.358,4.76447,0,37179.0,36959,75.07
2451,1200.0,100.0,100.0,4.0,4.0,0.00048,0.00048,-0.0169984,-0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,137.358,4.76447,0,37149.0,36929,76.74
2505,900.0,100.0,100.0,4.0,4.0,0.00049,0.00067,-0.00499996,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,126.336,7.29912,0,37095.0,36875,77.15
2547,400.0,100.0,100.0,4.0,5.0,0.00033,0.00049,0.00299999,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,126.336,7.29912,0,37053.0,36833,77.25
2566,1200.0,100.0,100.0,3.0,5.0,0.0,0.00051,0.0,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,126.336,7.29912,0,37034.0,36814,76.67
2623,1400.0,0.0,100.0,3.0,6.0,0.0,0.00401,-0.0159986,0.0279927,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,126.336,7.29912,0,36977.0,36757,67.7
2693,800.0,0.0,100.0,3.0,5.0,0.00173,0.00401,-0.0119994,0.0279927,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,126.336,7.29912,0,36907.0,36687,41.45
2699,400.0,100.0,100.0,4.0,4.0,0.00401,0.00401,-0.0119994,0.0279927,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,126.336,7.29912,0,36901.0,36681,40.53
2792,801.0,0.0,100.0,3.0,6.0,0.00055,0.00173,-0.00999967,0.0239954,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,145.572,1.17596,0,36808.0,36588,62.88
2842,199.0,100.0,100.0,4.0,5.0,0.00055,0.00055,-0.00899976,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,158.569,9.4517,0,36758.0,36538,70.4
2850,1200.0,100.0,100.0,4.0,4.0,0.00055,0.00055,-0.00899976,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,158.569,9.4517,0,36750.0,36530,64.55
2914,100.0,100.0,100.0,4.0,4.0,0.00055,0.00055,-0.00899976,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,158.569,9.4517,0,36686.0,36466,71.14
2921,800.0,100.0,100.0,4.0,4.0,0.00055,0.00059,-0.0159986,0.0259941,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,158.569,9.4517,0,36679.0,36459,76.91
2956,600.0,100.0,100.0,4.0,4.0,0.00059,0.0006,-0.0159986,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,158.569,9.4517,0,36644.0,36424,80.4
2986,700.0,100.0,100.0,4.0,4.0,0.00054,0.0006,-0.0159986,-0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,158.569,9.4517,0,36614.0,36394,80.28
3015,200.0,100.0,100.0,4.0,4.0,0.00054,0.00054,-0.0119994,-0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,158.569,9.4517,0,36585.0,36365,82.62
3027,1200.0,100.0,100.0,4.0,4.0,0.00054,0.00059,-0.0259941,-0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,158.569,9.4517,0,36573.0,36353,79.16
3074,199.0,100.0,100.0,4.0,4.0,0.00059,0.00059,-0.0259941,-0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,158.569,9.4517,0,36526.0,36306,73.4
3086,700.0,100.0,100.0,4.0,5.0,0.00059,0.00059,-0.0279927,-0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,158.569,9.4517,0,36514.0,36294,78.62
3121,700.0,100.0,100.0,3.0,5.0,0.00042,0.00059,-0.0279927,-0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,158.569,9.4517,0,36479.0,36259,90.91
3146,599.0,100.0,100.0,3.0,5.0,0.00023,0.00048,-0.0139991,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,120.581,5.8166,0,36454.0,36234,91.79
3171,700.0,100.0,100.0,4.0,4.0,0.00048,0.00048,-0.0119994,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,120.581,5.8166,0,36429.0,36209,85.52
3199,700.0,100.0,100.0,4.0,4.0,0.00048,0.00048,-0.0119994,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,120.581,5.8166,0,36401.0,36181,78.23
3232,99.0,100.0,100.0,4.0,4.0,0.00031,0.00048,-0.0119994,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,120.581,5.8166,0,36368.0,36148,75.08
3236,801.0,100.0,100.0,4.0,4.0,0.00031,0.00031,0.0229959,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,151.75,5.94206,0,36364.0,36144,69.18
3278,900.0,0.0,100.0,4.0,4.0,0.00023,0.00024,-0.0119994,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,151.75,5.94206,0,36322.0,36102,70.73
