driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
172,944.0,0.0,100.0,4.0,6.0,0.0,0.00017,0.0,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.4405,1.20824,0,53227.88,43825,24.37
328,624.0,0.0,100.0,4.0,6.0,0.0,0.00017,0.0,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.4405,1.20824,0,53071.88,43669,36.2
391,688.0,0.0,100.0,4.0,6.0,0.0,0.00017,0.0,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.4405,1.20824,0,53008.88,43606,39.58
452,656.0,0.0,100.0,4.0,6.0,0.0,0.00017,0.0,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.4405,1.20824,0,52947.88,43545,32.64
526,32.0,0.0,100.0,4.0,6.0,0.0,0.00017,0.0,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.7025,1.99608,0,52873.88,43471,44.16
529,640.0,0.0,100.0,4.0,6.0,0.0,0.00017,0.0,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.7025,1.99608,0,52870.88,43468,49.95
574,672.0,0.0,100.0,4.0,6.0,0.0,0.00017,0.0,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.7025,1.99608,0,52825.88,43423,49.59
622,752.0,0.0,100.0,4.0,6.0,0.0,0.00017,0.0,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.7025,1.99608,0,52777.88,43375,50.32
677,1056.0,0.0,100.0,4.0,6.0,0.0,0.00017,0.0,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.7025,1.99608,0,52722.88,43320,49.64
729,752.0,0.0,100.0,4.0,6.0,0.0,0.00017,0.0,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.7025,1.99608,0,52670.88,43268,60.31
