driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
166,912.0,100.0,100.0,2.0,7.0,1e-05,8e-05,-0.0489608,0.0139991,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,11.9971,1.81592,0,87734.12,84646,27.31
379,640.0,100.0,100.0,2.0,7.0,0.0,0.00399,-0.00899976,0.0279927,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,11.9971,1.81592,0,87521.12,84433,43.31
432,368.0,100.0,100.0,2.0,9.0,0.0,0.01283,-0.00899976,0.0309901,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,14.2589,1.35761,0,87468.12,84380,43.68
462,1616.0,100.0,100.0,2.0,9.0,0.0,0.00855,-0.0449697,0.00899976,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,13.9135,2.22346,0,87438.12,84350,34.04
656,16.0,100.0,100.0,5.0,5.0,0.00134,0.00134,-0.00299999,0.0399787,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.9135,2.22346,0,87244.12,84156,53.94
657,896.0,100.0,100.0,5.0,6.0,0.00019,0.00134,-0.00899976,0.0399787,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.2589,1.35761,0,87243.12,84155,61.76
709,672.0,100.0,100.0,5.0,8.0,0.0,0.00019,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.2589,1.35761,0,87191.12,84103,61.96
748,128.0,100.0,100.0,5.0,6.0,0.0,0.00022,-0.00499996,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.2589,1.35761,0,87152.12,84064,55.03
756,672.0,100.0,100.0,6.0,6.0,0.00022,0.00029,-0.00499996,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.2589,1.35761,0,87144.12,84056,55.87
799,48.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.2589,1.35761,0,87101.12,84013,60.29
802,736.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.2589,1.35761,0,87098.12,84010,64.84
843,704.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.2589,1.35761,0,87057.12,83969,71.27
879,688.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.2589,1.35761,0,87021.12,83933,75.72
911,64.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.2589,1.35761,0,86989.12,83901,72.33
915,576.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.9135,2.22346,0,86985.12,83897,73.46
943,640.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.6099,1.73916,0,86957.12,83869,80.66
971,640.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.6099,1.73916,0,86929.12,83841,82.64
999,608.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.6099,1.73916,0,86901.12,83813,84.27
1025,624.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.6099,1.73916,0,86875.12,83787,84.66
1052,656.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.6099,1.73916,0,86848.12,83760,93.49
1077,688.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.6099,1.73916,0,86823.12,83735,94.37
1103,736.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.6099,1.73916,0,86797.12,83709,94.57
1131,96.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.6099,1.73916,0,86769.12,83681,94.4
1135,736.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.6099,1.73916,0,86765.12,83677,87.4
1165,704.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,48.8306,20.4266,0,86735.12,83647,82.91
1196,432.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,48.8306,20.4266,0,86704.12,83616,72.2
1217,752.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,48.8306,20.4266,0,86683.12,83595,59.03
1263,1120.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,48.8306,20.4266,0,86637.12,83549,54.32
1337,16.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.7376,24.2542,0,86563.12,83475,61.5
1338,1104.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.7376,24.2542,0,86562.12,83474,75.34
1391,848.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.7376,24.2542,0,86509.12,83421,96.1
1423,288.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.7376,24.2542,0,86477.12,83389,97.68
1433,976.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.7376,24.2542,0,86467.12,83379,98.16
1469,304.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.7376,24.2542,0,86431.12,83343,101.49
1480,592.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.7376,24.2542,0,86420.12,83332,97.59
1502,784.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.7376,24.2542,0,86398.12,83310,86.55
1534,528.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.7376,24.2542,0,86366.12,83278,83.63
1557,144.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.6333,0.761231,0,86343.12,83255,89.21
1563,656.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.6333,0.761231,0,86337.12,83249,87.49
1590,720.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.7174,11.6678,0,86310.12,83222,83.41
1621,736.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.7174,11.6678,0,86279.12,83191,64.27
1662,112.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.7174,11.6678,0,86238.12,83150,58.75
1669,1120.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.7174,11.6678,0,86231.12,83143,73.2
1724,256.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.7174,11.6678,0,86176.12,83088,94.15
1734,864.0,0.0,100.0,5.0,7.0,0.00029,0.00039,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.7174,11.6678,0,86166.12,83078,97.34
