driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
452,432.0,100.0,100.0,3.0,3.0,0.00232,0.00232,-0.0259941,-0.00499996,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,63.8667,3.78239,0,66148.0,60841,21.42
550,272.0,100.0,100.0,3.0,3.0,0.00232,0.00232,-0.0259941,-0.00499996,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,60.9751,8.38718,0,66050.0,60743,20.85
612,208.0,100.0,100.0,3.0,3.0,0.00232,0.00232,-0.0259941,-0.00499996,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,60.9751,8.38718,0,65988.0,60681,22.8
645,1120.0,100.0,100.0,3.0,3.0,0.00232,0.00232,-0.0259941,-0.00499996,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,63.8667,3.78239,0,65955.0,60648,35.95
838,1088.0,100.0,100.0,3.0,3.0,0.00232,0.00232,-0.0259941,-0.00499996,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,63.8667,3.78239,0,65762.0,60455,63.24
901,1152.0,100.0,100.0,3.0,3.0,0.00232,0.00232,-0.0259941,-0.00499996,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,63.8667,3.78239,0,65699.0,60392,57.87
972,1136.0,100.0,100.0,3.0,3.0,0.00232,0.00232,-0.0259941,-0.00499996,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,63.8667,3.78239,0,65628.0,60321,61.85
1038,288.0,100.0,100.0,3.0,3.0,0.00232,0.00232,-0.0259941,-0.00499996,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,31.9076,4.54245,0,65562.0,60255,70.3
1053,912.0,100.0,100.0,3.0,3.0,0.00232,0.00232,-0.0259941,-0.00499996,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,46.285,3.54448,0,65547.0,60240,67.12
1102,1088.0,100.0,100.0,3.0,3.0,0.00232,0.00232,-0.0259941,-0.00499996,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,46.285,3.54448,0,65498.0,60191,38.31
1223,624.0,0.0,100.0,2.0,6.0,4e-05,0.00232,-0.0259941,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,31.9076,4.54245,0,65377.0,60070,67.33
1256,592.0,80.0001,80.0001,5.0,6.0,0.00021,0.00022,-0.0239954,-0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.9076,4.54245,0,65344.0,60037,85.57
1282,448.0,0.0,80.0001,5.0,6.0,0.00022,0.00044,-0.0159986,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.9076,4.54245,0,65318.0,60011,87.15
1300,224.0,80.0001,80.0001,5.0,5.0,0.00044,0.00044,-0.00699989,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.9076,4.54245,0,65300.0,59993,83.67
1309,624.0,80.0001,80.0001,5.0,5.0,0.0,0.00044,-0.00699989,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.9076,4.54245,0,65291.0,59984,86.09
1335,640.0,0.0,80.0001,4.0,6.0,0.0,0.00044,0.0,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.9076,4.54245,0,65265.0,59958,87.23
1361,688.0,80.0001,80.0001,5.0,5.0,0.00044,0.00044,-0.00499996,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,31.9076,4.54245,0,65239.0,59932,85.53
1390,784.0,80.0001,100.0,4.0,6.0,1e-05,0.00044,-0.00499996,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,31.9076,4.54245,0,65210.0,59903,85.48
1424,448.0,100.0,100.0,5.0,6.0,0.0,0.00014,-0.00499996,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,31.9076,4.54245,0,65176.0,59869,84.66
1442,400.0,100.0,100.0,5.0,5.0,0.00014,0.00014,-0.00499996,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,31.9076,4.54245,0,65158.0,59851,84.94
1459,720.0,100.0,100.0,5.0,5.0,0.00036,0.00036,-0.00699989,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.2745,1.11028,0,65141.0,59834,85.5
1490,672.0,100.0,100.0,5.0,5.0,0.00027,0.00036,-0.00699989,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.2745,1.11028,0,65110.0,59803,85.47
1518,640.0,100.0,100.0,5.0,5.0,0.00032,0.00032,-0.00499996,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.2745,1.11028,0,65082.0,59775,86.42
1545,720.0,100.0,100.0,5.0,6.0,0.0,0.00032,-0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,27.5718,3.43457,0,65055.0,59748,85.74
1575,832.0,100.0,100.0,4.0,6.0,0.0,0.00032,-0.00499996,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,27.5718,3.43457,0,65025.0,59718,84.53
1610,320.0,100.0,100.0,4.0,6.0,0.0,0.00032,-0.00499996,-0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,27.5718,3.43457,0,64990.0,59683,84.72
1624,512.0,100.0,100.0,4.0,6.0,0.0,0.00046,-0.00499996,-0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,27.5718,3.43457,0,64976.0,59669,84.49
1646,736.0,100.0,100.0,4.0,5.0,0.00046,0.00046,-0.00499996,0.0259941,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.5718,3.43457,0,64954.0,59647,85.38
1677,656.0,100.0,100.0,4.0,5.0,0.00046,0.00046,-0.0229959,0.0279927,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.5718,3.43457,0,64923.0,59616,84.1
1705,624.0,100.0,100.0,5.0,5.0,0.00046,0.00046,-0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.4974,4.42034,0,64895.0,59588,85.06
1731,672.0,100.0,100.0,4.0,6.0,0.0004,0.0005,-0.0229959,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,23.4974,4.42034,0,64869.0,59562,86.33
1757,624.0,100.0,100.0,4.0,6.0,0.0005,0.00051,-0.002,0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.4974,4.42034,0,64843.0,59536,86.37
1783,480.0,100.0,100.0,5.0,6.0,0.00026,0.00051,-0.00499996,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.4974,4.42034,0,64817.0,59510,85.09
1803,208.0,100.0,100.0,5.0,5.0,1e-05,0.00026,-0.00499996,-0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.4974,4.42034,0,64797.0,59490,85.27
1812,720.0,100.0,100.0,5.0,5.0,1e-05,0.00051,-0.00899976,0.0189977,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.4974,4.42034,0,64788.0,59481,85.76
1842,784.0,100.0,100.0,5.0,5.0,0.00051,0.00051,-0.00899976,0.0189977,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.4974,4.42034,0,64758.0,59451,85.31
1876,208.0,100.0,100.0,5.0,5.0,0.00051,0.00051,-0.00899976,0.0189977,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.4974,4.42034,0,64724.0,59417,86.4
1884,1152.0,100.0,100.0,5.0,5.0,0.00051,0.00051,-0.00899976,0.0189977,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.4974,4.42034,0,64716.0,59409,85.54
1933,784.0,100.0,100.0,5.0,5.0,0.00056,0.00056,-0.0139991,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,30.2063,3.73299,0,64667.0,59360,84.29
1966,352.0,100.0,100.0,5.0,5.0,0.00056,0.00056,-0.0139991,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,30.2063,3.73299,0,64634.0,59327,84.45
1981,1152.0,100.0,100.0,5.0,5.0,0.00056,0.00056,-0.0139991,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,30.2063,3.73299,0,64619.0,59312,85.2
2029,448.0,100.0,100.0,5.0,5.0,0.00056,0.00056,0.00899976,0.0259941,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,30.2063,3.73299,0,64571.0,59264,84.22
2049,784.0,100.0,100.0,5.0,5.0,0.0,0.00056,0.0,0.0239954,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,56.4317,4.6271,0,64551.0,59244,78.19
2085,608.0,100.0,100.0,5.0,5.0,0.00052,0.00052,0.00699989,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,56.4317,4.6271,0,64515.0,59208,84.69
2111,80.0,100.0,100.0,5.0,5.0,0.00052,0.00052,0.00699989,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,56.4317,4.6271,0,64489.0,59182,86.13
2114,704.0,100.0,100.0,4.0,6.0,0.0,0.00052,-0.00499996,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,56.4317,4.6271,0,64486.0,59179,85.56
2143,720.0,100.0,100.0,5.0,6.0,0.0,0.00027,-0.00499996,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,56.4317,4.6271,0,64457.0,59150,84.88
