driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
311,224.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.933,1.24331,0,50269.12,48683,28.41
341,1120.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.933,1.24331,0,50239.12,48653,31.26
489,16.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.933,1.24331,0,50091.12,48505,62.94
491,1616.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.933,1.24331,0,50089.12,48503,69.86
545,800.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.933,1.24331,0,50035.12,48449,72.4
584,800.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.933,1.24331,0,49996.12,48410,45.93
644,640.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.933,1.24331,0,49936.12,48350,66.1
679,656.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,94.9242,3.01465,0,49901.12,48315,68.63
713,752.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,94.9242,3.01465,0,49867.12,48281,64.04
750,1088.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,94.9242,3.01465,0,49830.12,48244,40.54
879,800.0,100.0,100.0,2.0,6.0,0.00017,0.00311,0.00899976,0.0169984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,94.9242,3.01465,0,49701.12,48115,43.79
944,1072.0,0.0,100.0,5.0,6.0,0.00017,0.00017,-0.0159986,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,94.9242,3.01465,0,49636.12,48050,66.93
999,1040.0,0.0,90.0001,5.0,5.0,0.00017,0.00017,-0.0159986,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,87.4965,1.49635,0,49581.12,47995,81.88
1045,1008.0,90.0001,90.0001,5.0,5.0,0.00017,0.00017,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,87.4965,1.49635,0,49535.12,47949,83.55
1089,640.0,90.0001,90.0001,5.0,5.0,8e-05,0.00017,-0.00899976,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,87.4965,1.49635,0,49491.12,47905,83.01
