driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1,320.0,100.0,100.0,2.0,6.0,0.00015,0.00049,-0.00299999,0.0449697,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42899.12,42737,26.88
50,1184.0,100.0,100.0,2.0,6.0,0.00015,0.00049,-0.00299999,0.0449697,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42850.12,42688,37.18
193,736.0,100.0,100.0,2.0,6.0,0.00015,0.00049,-0.00299999,0.0449697,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42707.12,42545,35.69
275,640.0,100.0,100.0,2.0,6.0,0.00015,0.00049,-0.00299999,0.0449697,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42625.12,42463,43.42
329,736.0,100.0,100.0,2.0,6.0,0.00015,0.00049,-0.00299999,0.0449697,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42571.12,42409,26.62
437,992.0,100.0,100.0,2.0,6.0,0.00015,0.00049,-0.00299999,0.0449697,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42463.12,42301,32.23
625,1024.0,100.0,100.0,2.0,7.0,0.00026,0.00056,-0.0379817,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.2247,5.65145,0,42275.12,42113,41.54
712,224.0,100.0,100.0,3.0,6.0,3e-05,0.00049,-0.0309901,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,48.2247,5.65145,0,42188.12,42026,52.66
725,768.0,100.0,100.0,3.0,6.0,3e-05,0.00049,-0.0309901,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,48.2247,5.65145,0,42175.12,42013,49.02
785,992.0,100.0,100.0,5.0,5.0,0.0,3e-05,-0.0309901,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,47.2997,7.25948,0,42115.12,41953,50.59
856,1056.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,47.2997,7.25948,0,42044.12,41882,40.21
946,1024.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,47.2997,7.25948,0,41954.12,41792,34.33
1055,1056.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,47.2997,7.25948,0,41845.12,41683,37.0
1223,704.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.653,4.54627,0,41677.12,41515,31.89
1308,288.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.653,4.54627,0,41592.12,41430,49.94
1330,1088.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.653,4.54627,0,41570.12,41408,48.48
1408,960.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.653,4.54627,0,41492.12,41330,56.55
1471,96.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.653,4.54627,0,41429.12,41267,63.52
1474,992.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,52.653,4.54627,0,41426.12,41264,63.46
1531,992.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,60.5532,7.1135,0,41369.12,41207,37.9
1767,992.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,60.5532,7.1135,0,41133.12,40971,31.82
1889,1024.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,60.5532,7.1135,0,41011.12,40849,41.0
1982,1344.0,100.0,100.0,2.0,5.0,1e-05,0.01729,-0.0379817,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,60.5532,7.1135,0,40918.12,40756,39.19
2161,1312.0,100.0,100.0,2.0,6.0,1e-05,0.01208,-0.0519532,0.0259941,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,37.6379,6.95247,0,40739.12,40577,36.75
2264,64.0,100.0,100.0,3.0,3.0,0.01208,0.01208,-0.0259941,0.0259941,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,37.6379,6.95247,0,40636.12,40474,38.78
2353,672.0,100.0,100.0,5.0,5.0,0.00061,0.00061,-0.0119994,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,60.5532,7.1135,0,40547.12,40385,82.03
2381,576.0,100.0,100.0,5.0,5.0,0.00049,0.00061,-0.0119994,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,60.5532,7.1135,0,40519.12,40357,82.93
2405,192.0,100.0,100.0,5.0,5.0,0.00049,0.00049,-0.00899976,-0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.9775,3.04325,0,40495.12,40333,82.25
2415,960.0,100.0,100.0,5.0,5.0,0.00049,0.00049,-0.00899976,-0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.9775,3.04325,0,40485.12,40323,91.09
2452,416.0,100.0,100.0,4.0,6.0,6e-05,0.00067,-0.00899976,0.00999967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.9775,3.04325,0,40448.12,40286,94.95
2468,896.0,100.0,100.0,5.0,5.0,0.00062,0.00067,-0.00499996,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.9775,3.04325,0,40432.12,40270,88.56
2504,672.0,100.0,100.0,4.0,6.0,0.00015,0.00062,0.00499996,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,59.9775,3.04325,0,40396.12,40234,88.47
2532,704.0,100.0,100.0,5.0,5.0,0.00051,0.00051,0.00499996,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,59.9775,3.04325,0,40368.12,40206,88.56
2559,608.0,100.0,100.0,5.0,5.0,0.00051,0.00051,0.00499996,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,59.9775,3.04325,0,40341.12,40179,86.74
2585,608.0,100.0,100.0,5.0,5.0,0.00044,0.00044,-0.00699989,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,101.217,23.1817,0,40315.12,40153,85.54
2611,640.0,100.0,100.0,4.0,6.0,0.00044,0.0005,-0.00699989,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,101.217,23.1817,0,40289.12,40127,77.44
2640,704.0,100.0,100.0,4.0,6.0,0.0004,0.0005,0.00899976,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,101.217,23.1817,0,40260.12,40098,79.85
2670,608.0,100.0,100.0,5.0,5.0,0.0004,0.0004,0.0139991,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,101.217,23.1817,0,40230.12,40068,80.02
2699,640.0,100.0,100.0,5.0,5.0,0.0005,0.0005,0.00499996,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,101.217,23.1817,0,40201.12,40039,79.32
2728,672.0,100.0,100.0,5.0,5.0,0.0005,0.0005,0.00499996,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,101.217,23.1817,0,40172.12,40010,74.78
2761,800.0,100.0,100.0,5.0,5.0,0.0005,0.0005,0.00499996,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,101.217,23.1817,0,40139.12,39977,73.71
2798,352.0,100.0,100.0,5.0,5.0,0.00041,0.0005,0.00499996,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,101.217,23.1817,0,40102.12,39940,79.46
2816,256.0,100.0,100.0,5.0,5.0,0.00041,0.00041,0.0229959,0.029991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,200.821,20.4775,0,40084.12,39922,78.14
2828,672.0,0.0,100.0,5.0,5.0,0.0002,0.00041,0.0159986,0.029991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,200.821,20.4775,0,40072.12,39910,72.64
2859,608.0,100.0,100.0,4.0,6.0,0.0,0.0002,-0.002,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,200.821,20.4775,0,40041.12,39879,73.85
2890,608.0,100.0,100.0,4.0,6.0,0.0,0.00048,-0.00499996,-0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,200.821,20.4775,0,40010.12,39848,71.05
2921,640.0,100.0,100.0,5.0,6.0,0.00021,0.0005,-0.00499996,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,200.821,20.4775,0,39979.12,39817,72.97
2953,672.0,100.0,100.0,5.0,6.0,1e-05,0.00021,0.0119994,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,200.821,20.4775,0,39947.12,39785,72.49
2987,704.0,100.0,100.0,6.0,7.0,1e-05,1e-05,0.00999967,0.0159986,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,200.821,20.4775,0,39913.12,39751,70.35
3023,0.0,100.0,100.0,4.0,6.0,0.00017,0.0002,-0.0209969,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,200.821,20.4775,0,39877.12,39715,73.2
