driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
173,600.0,100.0,100.0,6.0,6.0,0.0001,0.00015,-0.00999967,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6663,0.801657,0,48427.0,47555,21.37
194,700.0,100.0,100.0,6.0,6.0,0.0001,0.00015,-0.00999967,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6663,0.801657,0,48406.0,47534,16.78
420,1000.0,100.0,100.0,6.0,6.0,0.0001,0.00015,-0.00999967,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6663,0.801657,0,48180.0,47308,32.82
626,600.0,100.0,100.0,6.0,6.0,0.0001,0.00015,-0.00999967,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6663,0.801657,0,47974.0,47102,42.79
679,700.0,100.0,100.0,6.0,6.0,0.0001,0.00015,-0.00999967,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6663,0.801657,0,47921.0,47049,49.6
725,700.0,100.0,100.0,6.0,6.0,0.0001,0.00015,-0.00999967,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6663,0.801657,0,47875.0,47003,35.96
836,600.0,100.0,100.0,6.0,6.0,0.0001,0.00015,-0.00999967,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6663,0.801657,0,47764.0,46892,45.97
886,900.0,100.0,100.0,6.0,6.0,0.0001,0.00015,-0.00999967,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6663,0.801657,0,47714.0,46842,48.69
937,1500.0,100.0,100.0,2.0,7.0,1e-05,0.00887,-0.00299999,0.00499996,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,15.6663,0.801657,0,47663.0,46791,40.89
988,400.0,100.0,100.0,2.0,4.0,0.00111,0.0083,-0.002,0.00299999,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,15.6663,0.801657,0,47612.0,46740,22.0
1176,1199.0,100.0,100.0,6.0,6.0,0.00015,0.00015,-0.00999967,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6663,0.801657,0,47424.0,46552,72.99
1230,200.0,100.0,100.0,6.0,6.0,0.00014,0.00015,-0.00999967,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6663,0.801657,0,47370.0,46498,75.53
1237,1100.0,100.0,100.0,2.0,7.0,0.0,0.00016,-0.00299999,0.00499996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,15.4206,0.744029,0,47363.0,46491,78.46
1291,400.0,100.0,100.0,5.0,6.0,0.00016,0.00016,-0.00299999,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.4206,0.744029,0,47309.0,46437,79.14
1309,900.0,100.0,100.0,5.0,7.0,0.00016,0.00016,-0.00299999,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.4206,0.744029,0,47291.0,46419,78.88
1347,399.0,100.0,100.0,6.0,6.0,0.00016,0.00018,-0.00899976,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.4206,0.744029,0,47253.0,46381,79.34
