driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
412,608.0,100.0,100.0,3.0,5.0,0.001,0.00312,-0.0139991,0.0139991,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,14.3578,1.7811,0,42428.0,42415,30.75
484,672.0,100.0,100.0,3.0,5.0,0.001,0.00312,-0.0139991,0.0139991,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,14.3578,1.7811,0,42356.0,42343,32.55
558,608.0,100.0,100.0,3.0,5.0,0.001,0.00312,-0.0139991,0.0139991,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,14.3578,1.7811,0,42282.0,42269,29.45
677,640.0,100.0,100.0,3.0,5.0,0.001,0.00312,-0.0139991,0.0139991,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,14.3578,1.7811,0,42163.0,42150,29.07
799,640.0,100.0,100.0,3.0,5.0,0.001,0.00312,-0.0139991,0.0139991,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0109,6.77589,0,42041.0,42028,37.62
858,992.0,100.0,100.0,3.0,5.0,0.001,0.00312,-0.0139991,0.0139991,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0109,6.77589,0,41982.0,41969,32.07
1021,1088.0,100.0,100.0,2.0,5.0,0.00015,0.00912,-0.0229959,0.0399787,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,22.0109,6.77589,0,41819.0,41806,48.78
1024,288.0,100.0,100.0,2.0,5.0,0.00134,0.00912,-0.0399787,0.0399787,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0109,6.77589,0,41816.0,41803,27.43
1141,1088.0,100.0,100.0,5.0,5.0,1e-05,0.00017,-0.00299999,0.00699989,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,22.0109,6.77589,0,41699.0,41686,72.45
1194,1056.0,100.0,100.0,4.0,7.0,0.0,1e-05,-0.00899976,0.0159986,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.4366,1.10878,0,41646.0,41633,79.94
