driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
141,464.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.4405,1.20824,0,70059.0,49265,21.36
223,448.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.4405,1.20824,0,69977.0,49183,28.93
279,944.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.6068,8.53808,0,69921.0,49127,22.5
408,624.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.6068,8.53808,0,69792.0,48998,33.42
476,656.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.6068,8.53808,0,69724.0,48930,35.06
543,672.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.8908,5.78103,0,69657.0,48863,34.07
614,640.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.8908,5.78103,0,69586.0,48792,38.95
673,640.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.8908,5.78103,0,69527.0,48733,46.58
722,176.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.8908,5.78103,0,69478.0,48684,40.12
737,1120.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.8908,5.78103,0,69463.0,48669,37.75
845,448.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.8908,5.78103,0,69355.0,48561,37.42
886,976.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.8908,5.78103,0,69314.0,48520,44.33
955,64.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.8908,5.78103,0,69245.0,48451,43.65
960,1136.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.8908,5.78103,0,69240.0,48446,47.67
1046,432.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.9528,4.65096,0,69154.0,48360,45.94
1079,864.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.9528,4.65096,0,69121.0,48327,41.17
1155,1088.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.9528,4.65096,0,69045.0,48251,43.75
1241,16.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.9528,4.65096,0,68959.0,48165,38.68
1243,752.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.9528,4.65096,0,68957.0,48163,44.26
1303,624.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,72.7907,5.45664,0,68897.0,48103,46.25
1352,880.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,72.7907,5.45664,0,68848.0,48054,41.21
1428,352.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,72.7907,5.45664,0,68772.0,47978,43.59
1457,896.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,72.7907,5.45664,0,68743.0,47949,44.34
1520,704.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,72.7907,5.45664,0,68680.0,47886,42.64
1578,80.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,72.7907,5.45664,0,68622.0,47828,35.96
1587,1056.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,94.4864,6.50115,0,68613.0,47819,42.05
1677,720.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,94.4864,6.50115,0,68523.0,47729,42.29
1738,624.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,94.4864,6.50115,0,68462.0,47668,39.72
1804,688.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,94.4864,6.50115,0,68396.0,47602,47.21
1848,624.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,138.018,19.0512,0,68352.0,47558,43.61
1900,624.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,138.018,19.0512,0,68300.0,47506,41.63
1953,464.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,138.018,19.0512,0,68247.0,47453,38.22
1997,608.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,138.018,19.0512,0,68203.0,47409,33.83
