driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1,256.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47879.0,44219,24.66
72,784.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47808.0,44148,37.07
149,624.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47731.0,44071,53.73
199,560.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47681.0,44021,47.81
219,1312.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47661.0,44001,39.86
338,480.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47542.0,43882,36.97
384,16.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47496.0,43836,12.58
400,1376.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47480.0,43820,41.7
515,320.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47365.0,43705,66.13
532,368.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47348.0,43688,72.98
551,784.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47329.0,43669,80.72
585,592.0,100.0,100.0,6.0,6.0,0.00017,0.00017,0.0,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47295.0,43635,79.82
613,128.0,100.0,100.0,6.0,6.0,0.00013,0.00017,-0.002,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47267.0,43607,79.73
619,752.0,100.0,100.0,6.0,6.0,0.00013,0.00013,-0.002,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47261.0,43601,79.93
652,688.0,100.0,100.0,3.0,6.0,2e-05,0.00013,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47228.0,43568,74.45
685,496.0,100.0,100.0,3.0,4.0,2e-05,0.00011,-0.0169984,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47195.0,43535,68.47
712,224.0,100.0,100.0,4.0,4.0,0.00011,0.00011,-0.0169984,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47168.0,43508,69.05
722,688.0,100.0,100.0,4.0,4.0,0.00011,0.00011,-0.0169984,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47158.0,43498,65.57
761,752.0,100.0,100.0,3.0,4.0,7e-05,0.00011,-0.0169984,0.0189977,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47119.0,43459,74.27
798,176.0,100.0,100.0,3.0,3.0,4e-05,7e-05,-0.0159986,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47082.0,43422,79.18
806,608.0,100.0,100.0,3.0,6.0,4e-05,4e-05,0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.2618,0.85737,0,47074.0,43414,80.05
