driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
92,500.0,100.0,100.0,3.0,4.0,0.00098,0.01014,-0.00499996,0.0119994,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.6663,0.801657,0,31708.000000000004,30814,15.86
207,500.0,100.0,100.0,3.0,4.0,0.00098,0.01014,-0.00499996,0.0119994,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.6663,0.801657,0,31593.000000000004,30699,18.95
325,1000.0,100.0,100.0,3.0,4.0,0.00098,0.01014,-0.00499996,0.0119994,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.6663,0.801657,0,31475.000000000004,30581,24.93
589,600.0,100.0,100.0,3.0,4.0,0.00098,0.01014,-0.00499996,0.0119994,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.6663,0.801657,0,31211.000000000004,30317,43.25
643,700.0,100.0,100.0,3.0,4.0,0.00098,0.01014,-0.00499996,0.0119994,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.6663,0.801657,0,31157.000000000004,30263,45.86
693,600.0,100.0,100.0,3.0,4.0,0.00098,0.01014,-0.00499996,0.0119994,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.6663,0.801657,0,31107.000000000004,30213,51.05
739,700.0,100.0,100.0,3.0,4.0,0.00098,0.01014,-0.00499996,0.0119994,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.6663,0.801657,0,31061.000000000004,30167,45.8
790,900.0,100.0,100.0,3.0,4.0,0.00098,0.01014,-0.00499996,0.0119994,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.6663,0.801657,0,31010.000000000004,30116,35.25
887,700.0,100.0,100.0,2.0,7.0,0.0,0.00921,-0.0119994,0.00499996,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,15.6663,0.801657,0,30913.000000000004,30019,33.01
1073,100.0,100.0,100.0,6.0,7.0,0.0,0.00034,-0.00299999,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.6663,0.801657,0,30727.000000000004,29833,61.82
1076,1100.0,100.0,100.0,6.0,6.0,0.00034,0.00034,-0.00299999,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.6663,0.801657,0,30724.000000000004,29830,66.87
1137,200.0,100.0,100.0,6.0,6.0,0.00034,0.00034,-0.00299999,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.6663,0.801657,0,30663.000000000004,29769,73.66
1146,800.0,100.0,100.0,6.0,6.0,0.00034,0.00034,-0.00299999,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.6663,0.801657,0,30654.000000000004,29760,75.14
1185,801.0,100.0,100.0,6.0,6.0,0.0,0.00034,-0.00299999,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6663,0.801657,0,30615.000000000004,29721,76.81
1223,0.0,100.0,100.0,6.0,6.0,0.0,1e-05,-0.0119994,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.6117,1.84402,0,30577.000000000004,29683,78.28
1225,800.0,100.0,100.0,6.0,6.0,1e-05,1e-05,-0.0119994,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.6117,1.84402,0,30575.000000000004,29681,77.39
1259,800.0,100.0,100.0,6.0,6.0,1e-05,1e-05,-0.0119994,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,18.6117,1.84402,0,30541.000000000004,29647,61.08
1305,500.0,100.0,100.0,3.0,7.0,1e-05,0.00272,-0.032988,0.0399787,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,18.6117,1.84402,0,30495.000000000004,29601,49.09
1337,400.0,100.0,100.0,4.0,4.0,0.00272,0.00272,-0.032988,0.0399787,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,18.6117,1.84402,0,30463.000000000004,29569,44.97
1367,600.0,100.0,100.0,4.0,4.0,1e-05,0.00272,-0.032988,0.0399787,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,18.6117,1.84402,0,30433.000000000004,29539,50.67
1412,600.0,100.0,100.0,4.0,4.0,1e-05,1e-05,-0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.6117,1.84402,0,30388.000000000004,29494,65.23
1448,700.0,100.0,100.0,4.0,4.0,1e-05,1e-05,-0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.6117,1.84402,0,30352.000000000004,29458,80.02
1477,600.0,100.0,100.0,4.0,5.0,0.0,1e-05,-0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.6117,1.84402,0,30323.000000000004,29429,78.49
1506,0.0,100.0,100.0,4.0,5.0,0.0,1e-05,-0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.6117,1.84402,0,30294.000000000004,29400,75.38
1507,600.0,100.0,100.0,4.0,5.0,0.0,1e-05,-0.00699989,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.6117,1.84402,0,30293.000000000004,29399,70.35
1540,700.0,100.0,100.0,3.0,5.0,0.0,1e-05,-0.00899976,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.1209,0.845651,0,30260.000000000004,29366,79.04
1569,700.0,100.0,100.0,3.0,5.0,0.0,0.00025,-0.00699989,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.1209,0.845651,0,30231.000000000004,29337,82.3
1597,600.0,100.0,100.0,3.0,4.0,0.00025,0.00028,-0.00299999,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.1209,0.845651,0,30203.000000000004,29309,77.39
1627,600.0,100.0,100.0,4.0,4.0,0.00028,0.00028,-0.00299999,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.1209,0.845651,0,30173.000000000004,29279,79.25
