driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
652,272.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.4405,1.20824,0,69548.0,47878,21.01
697,960.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.4405,1.20824,0,69503.0,47833,29.77
801,432.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.4405,1.20824,0,69399.0,47729,49.15
833,832.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.6068,8.53808,0,69367.0,47697,35.6
958,640.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.6068,8.53808,0,69242.0,47572,55.0
999,528.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.6068,8.53808,0,69201.0,47531,59.77
1048,768.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.8908,5.78103,0,69152.0,47482,58.68
1078,640.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.8908,5.78103,0,69122.0,47452,64.32
1113,608.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.8908,5.78103,0,69087.0,47417,64.23
1148,176.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.8908,5.78103,0,69052.0,47382,60.06
1158,1104.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.8908,5.78103,0,69042.0,47372,59.6
1225,416.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.8908,5.78103,0,68975.0,47305,61.7
1249,832.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.8908,5.78103,0,68951.0,47281,75.06
1289,64.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.8908,5.78103,0,68911.0,47241,71.87
1292,1104.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.8908,5.78103,0,68908.0,47238,69.96
1350,448.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.9528,4.65096,0,68850.0,47180,58.15
1376,848.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.9528,4.65096,0,68824.0,47154,60.27
1427,1008.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.9528,4.65096,0,68773.0,47103,60.68
1487,32.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.9528,4.65096,0,68713.0,47043,59.19
1489,736.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.9528,4.65096,0,68711.0,47041,61.82
1531,624.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,72.7907,5.45664,0,68669.0,46999,57.88
1570,848.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,72.7907,5.45664,0,68630.0,46960,60.26
1620,208.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,72.7907,5.45664,0,68580.0,46910,60.28
1649,896.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,72.7907,5.45664,0,68551.0,46881,60.89
1687,688.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,72.7907,5.45664,0,68513.0,46843,59.87
1727,80.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,72.7907,5.45664,0,68473.0,46803,61.03
1732,1024.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,94.4864,6.50115,0,68468.0,46798,46.99
1811,720.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,94.4864,6.50115,0,68389.0,46719,49.92
1863,672.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,94.4864,6.50115,0,68337.0,46667,52.05
1909,448.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,94.4864,6.50115,0,68291.0,46621,61.53
1948,1040.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,138.018,19.0512,0,68252.0,46582,62.46
1980,608.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,138.018,19.0512,0,68220.0,46550,57.19
2018,464.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,138.018,19.0512,0,68182.0,46512,46.99
2053,592.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,138.018,19.0512,0,68147.0,46477,47.85
2097,752.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,138.018,19.0512,0,68103.0,46433,60.09
2142,640.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,138.018,19.0512,0,68058.0,46388,60.34
2180,672.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,138.018,19.0512,0,68020.0,46350,55.22
2224,640.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,138.018,19.0512,0,67976.0,46306,66.19
2258,624.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,138.018,19.0512,0,67942.0,46272,70.78
2289,608.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,104.484,7.86072,0,67911.0,46241,72.35
2320,624.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,104.484,7.86072,0,67880.0,46210,68.04
2353,608.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,104.484,7.86072,0,67847.0,46177,73.69
2383,640.0,100.0,100.0,4.0,4.0,0.00018,0.00018,-0.00699989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,104.484,7.86072,0,67817.0,46147,76.31
