driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1,416.0,100.0,100.0,2.0,5.0,0.00174,0.00901,-0.0159986,0.0259941,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,16.1148,1.80367,0,71999.0,43374,73.91
23,640.0,100.0,100.0,2.0,5.0,0.00174,0.00901,-0.0159986,0.0259941,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,16.1148,1.80367,0,71977.0,43352,70.37
55,192.0,100.0,100.0,2.0,5.0,0.00174,0.00901,-0.0159986,0.0259941,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,16.1148,1.80367,0,71945.0,43320,66.76
64,896.0,100.0,100.0,2.0,6.0,0.00019,0.00255,-0.0119994,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,16.1148,1.80367,0,71936.0,43311,66.77
114,352.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.0119994,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.1148,1.80367,0,71886.0,43261,73.1
130,704.0,0.0,100.0,3.0,5.0,0.0,0.00019,-0.0119994,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.1148,1.80367,0,71870.0,43245,66.97
169,640.0,100.0,100.0,3.0,5.0,0.0,0.00019,-0.00699989,0.00699989,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.1148,1.80367,0,71831.0,43206,66.08
204,256.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.3587,0.958423,0,71796.0,43171,66.53
218,768.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.3587,0.958423,0,71782.0,43157,69.8
258,704.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.3587,0.958423,0,71742.0,43117,76.06
292,128.0,100.0,100.0,5.0,5.0,0.00019,0.00019,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.3587,0.958423,0,71708.0,43083,75.91
298,576.0,100.0,100.0,5.0,5.0,0.00018,0.00019,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.3587,0.958423,0,71702.0,43077,75.96
324,640.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00699989,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.8616,0.594156,0,71676.0,43051,76.02
355,672.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00699989,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.8616,0.594156,0,71645.0,43020,75.95
386,640.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00699989,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.8616,0.594156,0,71614.0,42989,72.37
418,512.0,100.0,100.0,5.0,5.0,0.0,0.00018,-0.00699989,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.8616,0.594156,0,71582.0,42957,73.44
454,352.0,100.0,100.0,5.0,5.0,0.0,0.00012,-0.00699989,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.8616,0.594156,0,71546.0,42921,73.03
459,480.0,100.0,100.0,5.0,5.0,0.00012,0.00012,-0.00699989,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.8616,0.594156,0,71541.0,42916,71.63
485,736.0,100.0,100.0,5.0,5.0,0.00012,0.00012,-0.00699989,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.8616,0.594156,0,71515.0,42890,73.29
520,736.0,100.0,100.0,5.0,5.0,0.00012,0.00012,-0.00699989,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.8616,0.594156,0,71480.0,42855,76.65
555,96.0,100.0,100.0,5.0,5.0,0.00012,0.00012,-0.00699989,0.0139991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.8616,0.594156,0,71445.0,42820,75.96
560,704.0,100.0,100.0,5.0,5.0,1e-05,0.00012,-0.00899976,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.8616,0.594156,0,71440.0,42815,75.7
593,800.0,100.0,100.0,4.0,6.0,1e-05,5e-05,-0.00899976,0.002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.9511,1.55825,0,71407.0,42782,76.03
631,160.0,100.0,100.0,5.0,5.0,5e-05,0.00013,-0.002,0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.9511,1.55825,0,71369.0,42744,76.54
638,608.0,0.0,100.0,4.0,6.0,0.00013,0.00015,0.002,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,50.877,22.0415,0,71362.0,42737,77.36
668,736.0,80.0001,80.0001,5.0,5.0,0.00015,0.00015,0.0139991,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,50.877,22.0415,0,71332.0,42707,76.45
702,672.0,80.0001,80.0001,5.0,5.0,0.00015,0.00015,0.0139991,0.0209969,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,50.877,22.0415,0,71298.0,42673,73.73
735,32.0,80.0001,80.0001,5.0,5.0,0.00015,0.00015,0.00899976,0.0239954,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,50.877,22.0415,0,71265.0,42640,70.38
736,704.0,80.0001,80.0001,5.0,5.0,0.00015,0.00015,0.00899976,0.0239954,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,50.877,22.0415,0,71264.0,42639,65.18
773,608.0,80.0001,80.0001,5.0,5.0,0.00015,0.00015,0.00899976,0.0239954,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,50.877,22.0415,0,71227.0,42602,62.4
810,672.0,80.0001,80.0001,5.0,5.0,0.00015,0.00015,0.00899976,0.0239954,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,50.877,22.0415,0,71190.0,42565,65.46
845,608.0,80.0001,80.0001,5.0,5.0,0.00015,0.00015,-0.0159986,0.0239954,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,50.877,22.0415,0,71155.0,42530,66.98
