driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
2925,128.0,100.0,100.0,5.0,5.0,0.00044,0.00044,-0.00699989,0.0119994,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,101.217,23.1817,0,39975.12,39086,78.82
2932,640.0,100.0,100.0,4.0,6.0,0.00044,0.0005,-0.00699989,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,101.217,23.1817,0,39968.12,39079,74.52
2962,672.0,100.0,100.0,4.0,6.0,0.0004,0.0005,0.00899976,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,101.217,23.1817,0,39938.12,39049,72.7
2995,672.0,100.0,100.0,5.0,5.0,0.0004,0.0004,0.0139991,0.0209969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,101.217,23.1817,0,39905.12,39016,66.67
3030,0.0,100.0,100.0,5.0,5.0,0.0005,0.0005,0.00499996,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,101.217,23.1817,0,39870.12,38981,68.36
3031,640.0,100.0,100.0,5.0,5.0,0.0005,0.0005,0.00499996,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,101.217,23.1817,0,39869.12,38980,69.48
3063,672.0,100.0,100.0,5.0,5.0,0.0005,0.0005,0.00499996,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,101.217,23.1817,0,39837.12,38948,65.46
3101,736.0,100.0,100.0,5.0,5.0,0.0005,0.0005,0.00499996,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,101.217,23.1817,0,39799.12,38910,66.21
3142,384.0,100.0,100.0,5.0,5.0,0.00041,0.0005,0.00499996,0.0259941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,101.217,23.1817,0,39758.12,38869,73.02
3161,192.0,100.0,100.0,5.0,5.0,0.00041,0.00041,0.0229959,0.029991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,200.821,20.4775,0,39739.12,38850,73.17
3181,704.0,0.0,100.0,5.0,5.0,0.0002,0.00041,0.0159986,0.029991,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,200.821,20.4775,0,39719.12,38830,67.52
3208,672.0,100.0,100.0,4.0,6.0,0.0,0.0002,-0.002,0.0169984,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,200.821,20.4775,0,39692.12,38803,66.94
