driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1,592.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47879.0,46919,29.41
76,496.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47804.0,46844,31.66
133,1408.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47747.0,46787,37.66
273,304.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47607.0,46647,63.36
291,384.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.5155,0.872957,0,47589.0,46629,70.49
311,752.0,100.0,100.0,6.0,6.0,0.00017,0.00017,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47569.0,46609,82.3
344,608.0,100.0,100.0,6.0,6.0,0.00017,0.00017,0.0,0.002,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47536.0,46576,83.65
370,160.0,100.0,100.0,6.0,6.0,0.00013,0.00017,-0.002,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47510.0,46550,83.55
377,736.0,100.0,100.0,6.0,6.0,0.00013,0.00013,-0.002,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47503.0,46543,84.1
408,688.0,100.0,100.0,3.0,6.0,2e-05,0.00013,-0.0119994,0.0119994,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.6651,1.69154,0,47472.0,46512,84.59
