driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
283,199.0,100.0,100.0,2.0,4.0,0.00011,0.00741,-0.0139991,0.0259941,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18.4114,0.778816,0,36317.0,35498,25.77
311,700.0,100.0,100.0,2.0,4.0,0.00011,0.00741,-0.0139991,0.0259941,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18.4114,0.778816,0,36289.0,35470,26.42
420,1100.0,100.0,100.0,2.0,4.0,0.00011,0.00741,-0.0139991,0.0259941,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18.4114,0.778816,0,36180.0,35361,23.93
687,199.0,100.0,100.0,2.0,4.0,0.00011,0.00741,-0.0139991,0.0259941,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18.4114,0.778816,0,35913.0,35094,34.74
712,601.0,100.0,100.0,2.0,4.0,0.00011,0.00741,-0.0139991,0.0259941,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18.4114,0.778816,0,35888.0,35069,26.86
805,300.0,100.0,100.0,2.0,4.0,0.00011,0.00741,-0.0139991,0.0259941,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18.4114,0.778816,0,35795.0,34976,42.88
829,700.0,100.0,100.0,2.0,4.0,0.00011,0.00741,-0.0139991,0.0259941,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18.4114,0.778816,0,35771.0,34952,27.71
947,600.0,100.0,100.0,2.0,15.0,1e-05,0.00151,-0.0139991,0.0189977,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,18.4114,0.778816,0,35653.0,34834,27.37
1038,1200.0,100.0,100.0,2.0,7.0,3e-05,0.00464,-0.0399787,0.0399787,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,18.4114,0.778816,0,35562.0,34743,47.26
1125,200.0,100.0,100.0,5.0,5.0,0.00012,0.00012,0.002,0.00299999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.4114,0.778816,0,35475.0,34656,62.82
1139,1200.0,0.0,100.0,3.0,6.0,0.00012,0.00147,-0.00899976,0.00999967,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,18.4114,0.778816,0,35461.0,34642,54.55
1211,0.0,0.0,0.0,4.0,4.0,0.00092,0.00111,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,18.4114,0.778816,0,35389.0,34570,60.89
1212,600.0,0.0,0.0,3.0,7.0,0.00018,0.00111,-0.00899976,0.00899976,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,19.4551,1.73055,0,35388.0,34569,62.25
1249,599.0,0.0,100.0,5.0,7.0,0.0,0.00019,-0.00899976,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,19.4551,1.73055,0,35351.0,34532,63.26
1284,700.0,100.0,100.0,5.0,5.0,0.0,0.00018,-0.0259941,0.0259941,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.7473,8.90624,0,35316.0,34497,70.84
1317,700.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.0259941,0.0259941,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.7473,8.90624,0,35283.0,34464,69.19
1350,700.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.0259941,0.0259941,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.7473,8.90624,0,35250.0,34431,77.93
1380,600.0,100.0,100.0,5.0,5.0,1e-05,0.00018,-0.0259941,0.0259941,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.7473,8.90624,0,35220.0,34401,85.43
1407,600.0,100.0,100.0,5.0,5.0,1e-05,1e-05,-0.0259941,-0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.7473,8.90624,0,35193.0,34374,90.2
1432,600.0,100.0,100.0,5.0,7.0,0.0,9e-05,-0.0259941,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.7473,8.90624,0,35168.0,34349,86.58
1459,800.0,0.0,100.0,5.0,7.0,9e-05,0.00018,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.7473,8.90624,0,35141.0,34322,86.0
1486,600.0,100.0,100.0,5.0,5.0,0.00018,0.00018,-0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,31.7473,8.90624,0,35114.0,34295,84.84
1512,600.0,100.0,100.0,5.0,5.0,0.00018,0.00018,0.0,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.2525,1.80218,0,35088.0,34269,84.12
1539,700.0,100.0,100.0,5.0,5.0,0.00018,0.00018,0.0,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,24.2525,1.80218,0,35061.0,34242,82.19
