driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
107,768.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.1361,2.01163,0,51193.0,50029,33.54
111,256.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.1361,2.01163,0,51189.0,50025,19.98
234,800.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.1361,2.01163,0,51066.0,49902,37.92
415,704.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50885.0,49721,30.17
510,928.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50790.0,49626,42.38
590,384.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50710.0,49546,68.5
609,864.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50691.0,49527,82.66
647,448.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50653.0,49489,91.88
664,320.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50636.0,49472,86.48
678,768.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50622.0,49458,75.71
715,736.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50585.0,49421,62.67
758,192.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50542.0,49378,60.56
768,576.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50532.0,49368,59.27
803,864.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.4489,12.5075,0,50497.0,49333,57.05
859,224.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,109.263,12.9676,0,50441.0,49277,56.67
874,1216.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,109.263,12.9676,0,50426.0,49262,65.29
940,288.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,109.263,12.9676,0,50360.0,49196,76.81
953,1056.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,109.263,12.9676,0,50347.0,49183,88.56
997,64.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,109.263,12.9676,0,50303.0,49139,89.55
999,1120.0,100.0,100.0,4.0,4.0,1e-05,0.00047,-0.0229959,-0.0119994,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,109.263,12.9676,0,50301.0,49137,90.31
1043,224.0,100.0,100.0,4.0,4.0,0.00047,0.00047,-0.0229959,-0.0209969,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,109.263,12.9676,0,50257.0,49093,90.86
1051,1216.0,100.0,100.0,4.0,4.0,0.00047,0.00051,-0.0259941,-0.0209969,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,109.263,12.9676,0,50249.0,49085,92.57
1098,1120.0,100.0,100.0,3.0,5.0,0.00041,0.00051,-0.0369831,-0.00499996,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,28.215,8.06412,0,50202.0,49038,104.77
1137,352.0,100.0,100.0,4.0,4.0,0.00042,0.00042,-0.00699989,-0.00499996,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.215,8.06412,0,50163.0,48999,100.67
1149,928.0,100.0,100.0,2.0,5.0,1e-05,0.00641,-0.0209969,0.0369831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,28.215,8.06412,0,50151.0,48987,93.6
1185,256.0,100.0,100.0,4.0,4.0,1e-05,1e-05,-0.0209969,-0.00899976,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.215,8.06412,0,50115.0,48951,94.17
1195,1088.0,100.0,100.0,4.0,4.0,1e-05,0.00066,-0.0209969,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,28.215,8.06412,0,50105.0,48941,91.29
1237,64.0,100.0,100.0,4.0,4.0,0.00066,0.00066,-0.00699989,0.00899976,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,28.215,8.06412,0,50063.0,48899,89.58
1240,1216.0,100.0,100.0,4.0,4.0,0.00066,0.00097,-0.0119994,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,28.215,8.06412,0,50060.0,48896,90.39
1289,1152.0,100.0,100.0,4.0,4.0,0.00097,0.00097,-0.0119994,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,28.0965,4.42397,0,50011.0,48847,90.2
1335,896.0,100.0,100.0,4.0,4.0,0.00097,0.00097,-0.0119994,0.0139991,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,28.0965,4.42397,0,49965.0,48801,88.39
1370,544.0,100.0,100.0,4.0,4.0,0.00097,0.00101,-0.0119994,0.0169984,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,28.0965,4.42397,0,49930.0,48766,87.68
