driving_time_seconds,distance_m,speed_limit_low,speed_limit_up,lane_number_min,lane_number_max,curvature_abs_min,curvature_abs_max,slope_rad_min,slope_rad_max,has_tunnel,has_toll,is_service_area,has_bridge,is_highway,road_type_1,road_type_2,road_type_3,altitude_m_avg,altitude_m_std,traffic_status,standard_remain_time_seconds,real_travel_time_seconds,avg_speed
1,672.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.3578,1.7811,0,51238.88,49080,30.47
101,1312.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.3578,1.7811,0,51138.88,48980,31.18
357,1088.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.3578,1.7811,0,50882.88,48724,45.75
442,1088.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14.3578,1.7811,0,50797.88,48639,49.6
520,1120.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50719.88,48561,28.51
726,160.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50513.88,48355,41.12
741,832.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50498.88,48340,51.68
798,608.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50441.88,48283,69.37
830,608.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50409.88,48251,84.85
856,640.0,100.0,100.0,7.0,7.0,0.00024,0.00024,0.00299999,0.00299999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,15.6791,1.84645,0,50383.88,48225,83.57
